medicao_id,obra_id,numero_bm,aditivo,periodo_inicio,periodo_fim,data_bm,dias_uteis_mes,apostilamento_percentual,status,observacoes,criado_em,atualizado_em
bm_a3c6be960b,obra_c6e3733766,5,1.0,2025-11-22,2025-12-21,2026-01-10,20,0.0553,Rascunho,,2026-05-11 17:47:52,2026-05-11 17:47:52
bm_aeb5f7c270,obra_d09505902b,1,,2026-04-04,2026-04-04,2026-05-04,22,0.0,Rascunho,Mediçao Chafariz,2026-05-13 20:16:30,2026-05-13 20:16:30
bm_855fb933f1,obra_d09505902b,2,,2026-06-01,2026-06-01,2026-06-01,20,0.0,Rascunho,TESTE,2026-06-01 20:20:27,2026-06-01 20:20:27
bm_22878e418b,obra_d09505902b,03,,2026-06-01,2026-06-01,2026-06-01,20,0.0,rascunho,,2026-06-01 20:56:45,2026-06-01 20:56:45
