local_id,obra_id,nome_local,ativo,observacoes,criado_em,atualizado_em
LOC_db6d0825,obra_c6e3733766,Praça Carlos Gomes,sim,,2026-05-29T21:39:24,2026-05-29T21:39:24
LOC_188808a1,obra_d09505902b,Praça Carlos Gomes,sim,,2026-05-29T21:39:41,2026-05-29T21:39:41
