mc_id,medicao_id,frente_id,tipo,descricao,comprimento,ast,resultado
mc_8d58b91587,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 23 - 104397.0 - Condulete De Pvc, Tipo E, Para Eletroduto De Pvc Soldável Dn 32 Mm (1''), Aparente - Fornecimento E Instalação. Af_10/2022",0.0,46.76,0.0
mc_cd9166ff05,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 24 - 95810.0 - Condulete De Pvc, Tipo Lb, Para Eletroduto De Pvc Soldável Dn 20 Mm (1/2''), Aparente - Fornecimento E Instalação. Af_10/2022",0.0,30.23,0.0
mc_7b4c5f0d47,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 25 - 95811.0 - Condulete De Pvc, Tipo Lb, Para Eletroduto De Pvc Soldável Dn 25 Mm (3/4''), Aparente - Fornecimento E Instalação. Af_10/2022",0.0,36.45,0.0
mc_96fffe6367,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 26 - 95812.0 - Condulete De Pvc, Tipo Lb, Para Eletroduto De Pvc Soldável Dn 32 Mm (1''), Aparente - Fornecimento E Instalação. Af_10/2022",0.0,49.0,0.0
mc_de6948e87f,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 27 - 95807.0 - Condulete De Pvc, Tipo Ll, Para Eletroduto De Pvc Soldável Dn 20 Mm (1/2''), Aparente - Fornecimento E Instalação. Af_10/2022",0.0,46.3,0.0
mc_cc501bb3c7,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 28 - 95808.0 - Condulete De Pvc, Tipo Ll, Para Eletroduto De Pvc Soldável Dn 25 Mm (3/4''), Aparente - Fornecimento E Instalação. Af_10/2022",0.0,52.52,0.0
mc_13c8b1bcb6,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 29 - 95809.0 - Condulete De Pvc, Tipo Ll, Para Eletroduto De Pvc Soldável Dn 32 Mm (1''), Aparente - Fornecimento E Instalação. Af_10/2022",0.0,65.07,0.0
mc_c6cc758f0d,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 30 - 104398.0 - Condulete De Pvc, Tipo Lr, Para Eletroduto De Pvc Soldável Dn 20 Mm (1/2''), Aparente - Fornecimento E Instalação. Af_10/2022",0.0,46.26,0.0
mc_b714184f66,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 31 - 104399.0 - Condulete De Pvc, Tipo Lr, Para Eletroduto De Pvc Soldável Dn 25 Mm (3/4''), Aparente - Fornecimento E Instalação. Af_10/2022",0.0,49.9,0.0
mc_38fa36650f,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 32 - 104400.0 - Condulete De Pvc, Tipo Lr, Para Eletroduto De Pvc Soldável Dn 32 Mm (1''), Aparente - Fornecimento E Instalação. Af_10/2022",0.0,63.95,0.0
