id_atestado,cliente,contrato,obra,local,ano,data_inicio,data_fim,descricao,observacoes
80aac755-8aa	Prefeitura Municipal de Cubatão (Departamento de Administração).	Cemitério Municipal de Cubatão / SP.	Construção de Carneiros para adultos e obras complementares no Cemitério Municipal.				07/07/1988 a 19/06/1989	Construção de Carneiros para adultos e obras complementares no Cemitério Municipal.	Tipo: C | Responsável Técnico: Engº Felipe Alfredo Perroni Filho (CREA nº 19.948/D) e Engº Carlos Roberto Carlan (CREA nº 37.686/D).
bdd0c7d5-306	Petrobrás - Petróleo Brasileiro S.A. (Unidade: RPBC).	218-5-258-92-9.	Execução de serviços de pavimentação asfáltica na malha viária da RPBC.	Petrobrás (RPBC)				Execução de serviços de pavimentação asfáltica na malha viária da RPBC.	Tipo: C | Responsável Técnico: None
8495bbf0-54d	Petrobrás - Petróleo Brasileiro S.A.	Carta-Contrato nº 3.874.013.0.92.	Serviços de Construção Civil de Bases para Equipamentos e Reforma da Casa de Controle da Unidade Protótipo de Craqueamento Térmico Brando da RPBC.	RPBC				Serviços de Construção Civil de Bases para Equipamentos e Reforma da Casa de Controle da Unidade Protótipo de Craqueamento Térmico Brando da RPBC.	Tipo: C | Responsável Técnico: None
01c16ec4-c86	Petrobrás - Petróleo Brasileiro S.A.	Carta-Contrato nº 50.945/89.	Construção de 3 canteiros de obras em alvenaria estrutural aparente.	Petrobrás RPBC			26/06/1989 a 06/10/1989	Construção de 3 canteiros de obras em alvenaria estrutural aparente.	Tipo: C | Responsável Técnico: Engº Felipe Alfredo Perroni Filho (CREA 22.443/B) e Engº Carlos Roberto Carlan (CREA 37.686/D).
b38548e4-853	CURSAN - Companhia Cubatense de Urbanização e Saneamento	Contrato nº AF 248/95 e Aditamento nº AF 962/95.	Obras de Ampliação e Reforma da EMPSG João Ramalho, no Município de Cubatão/SP.				01/04/95 a 30/11/95	Obras de Ampliação e Reforma da EMPSG João Ramalho, no Município de Cubatão/SP.	Tipo: C | Responsável Técnico: Engº Felipe Alfredo Perroni Filho (CREA nº 060019948.1).
00e2aa3b-323	CURSAN - Companhia Cubatense de Urbanização e Saneamento	AF 200/95 e Aditamento AF 841/95.	Obras de reforma e ampliação da EMEI ESTADO DO PARÁ (CUBATÃO/SP)	Cubatão - SP			08/03/95 a 15/07/95	Obras de reforma e ampliação da EMEI ESTADO DO PARÁ (CUBATÃO/SP)	Tipo: C | Responsável Técnico: Engº Felipe Alfredo Perroni Filho (CREA nº 060019948-1)
fe714e4c-a01	CURSAN - Companhia Cubatense de Urbanização e Saneamento.	nº 076/91.	Obra de reparos em passeios, guias e sarjetas no Município de Cubatão/SP	Cubatão - SP			11/07/1991 a 11/07/1992	Obra de reparos em passeios, guias e sarjetas no Município de Cubatão/SP	Tipo: C | Responsável Técnico: Engº Felipe Alfredo Perroni Filho (CREA nº 060019948-1)
609ecfa7-6cf	CURSAN - Companhia Cubatense de Urbanização e Saneamento.	nº 064/91 (vinculado à Carta-Convite nº 125/91)	Obras, reparos e conservação dos próprios públicos em todo o Município de Cubatão/SP	Cubatão - SP			14/06/1991 a 14/06/1992	Obras, reparos e conservação dos próprios públicos em todo o Município de Cubatão/SP	Tipo: C | Responsável Técnico: Engº Felipe Alfredo Perroni Filho (CREA nº 060019948-1)
65b80749-d28	CURSAN - Companhia Cubatense de Urbanização e Saneamento.	nº AF 00988/94 (Processo nº 183/94)	Obras de pavimentação de diversas ruas do Loteamento Costa Muniz, Cubatão/SP.	Cubatão - SP			1/12/1994 a 10/4/1995	Obras de pavimentação de diversas ruas do Loteamento Costa Muniz, Cubatão/SP.	Tipo: C | Responsável Técnico: Engº Felipe Alfredo Perroni Filho (CREA nº 060019948-1)
033a55c1-6af	CURSAN - Companhia Cubatense de Urbanização e Saneamento	AF 466/96	Obras do Centro de Controle e pavimentação na Vila Natal	Cubatao - SP				Obras do Centro de Controle e pavimentação na Vila Natal	Tipo: C | Responsável Técnico: None
