usuario_role_id,usuario_id,role_id,obra_id,ativo,criado_em,criado_por,atualizado_em,atualizado_por
85b7d310-2e6f-444f-bbb4-670fb8ec1b77,533b443c-6f6e-4a1f-942c-2026a3258695,6dfd17e6-4c4d-4a79-bc29-802010f57788,todas,nao,2026-08-05T21:12:17.464702+00:00,Fabio,2026-08-26T13:40:15.237736+00:00,Fabio
0d15dbf4-e60c-4d26-afec-8714e3765e7d,2a50dc6b-0a32-41ba-8a7a-6d77636a5758,6dfd17e6-4c4d-4a79-bc29-802010f57788,todas,sim,2026-08-06T18:01:17.816064+00:00,Fabio,2026-08-06T18:01:17.816064+00:00,Fabio
5c296104-a09d-4f77-9589-2ebd75718aa0,533b443c-6f6e-4a1f-942c-2026a3258695,4ae8befd-2f3f-4d40-96c3-0f41f5a36de5,todas,nao,2026-08-25T19:18:37.257757+00:00,Fabio,2026-08-26T12:28:32.564262+00:00,Fabio
8511ba4a-a20b-47c5-81cf-e9c27383e3e7,533b443c-6f6e-4a1f-942c-2026a3258695,d6434336-0f02-4674-b4e7-d338e8bb44a6,todas,sim,2026-08-26T13:43:28.643503+00:00,Fabio,2026-08-26T15:49:30.447847+00:00,Fabio
18ab5d4e-7c81-4126-b211-8a30466a7759,533b443c-6f6e-4a1f-942c-2026a3258695,34760418-2346-436a-aabe-5488769c40b4,todas,nao,2026-08-26T14:03:12.786918+00:00,Fabio,2026-08-26T14:09:12.975765+00:00,Fabio
2d7237ae-73f6-4e1e-819e-199d7407bb01,533b443c-6f6e-4a1f-942c-2026a3258695,dd9524ef-e1b9-4ac8-a468-885dd4cc6fce,todas,nao,2026-08-26T14:09:28.180498+00:00,Fabio,2026-08-26T15:02:41.583612+00:00,Fabio
